dataset,category,value
household_income,Total,5356.95072
household_size,1,630.3354
household_size,2,317.17777
household_size,3,309.627
household_size,4,333.99878
household_size,5,286.85466
household_size,6,225.22271
household_size,7,160.511
household_size,8,145.45811
household_size,9,88.07214
household_size,10,85.98733
household_size,11,43.97986
household_size,12,13.29835
household_size,13,12.31664
household_size,14,8.1836
household_size,15,4.11242
household_size,16,6.15832
household_size,17,4.11242
household_size,18,1.02295
household_size,19,0.0
household_size,20,1.02295
household_size,21,0.0
household_size,22,0.0
household_size,23,0.0
household_size,24,1.02295
household_size,25,0.0
household_size,26,0.0
household_size,27,0.0
household_size,28,0.0
household_size,29,0.0
household_size,30,0.0
household_size,31,0.0
household_size,32,0.0
household_size,33,0.0
household_size,34,0.0
household_size,35,0.0
household_size,36,0.0
household_size,37,0.0
household_size,38,0.0
household_size,39,0.0
household_size,40,0.0
household_size,41,0.0
household_size,42,0.0
household_size,43,0.0
household_size,44,0.0
household_size,45,0.0
household_size,46,0.0
household_size,47,0.0
household_size,48,0.0
household_size,49,0.0
household_size,50,0.0
household_size,51,0.0
household_size,52,0.0
household_size,53,0.0
household_size,54,0.0
household_size,55,0.0
household_size,56,0.0
household_size,57,0.0
household_size,58,0.0
household_size,59,0.0
household_size,60,0.0
household_size,61,0.0
household_size,62,0.0
household_size,63,0.0
household_size,64,0.0
household_size,65,0.0
household_size,66,0.0
household_size,67,0.0
household_size,68,0.0
household_size,69,0.0
household_size,70,0.0
household_size,71,0.0
household_size,72,0.0
household_size,73,0.0
household_size,74,0.0
household_size,75,0.0
household_size,76,0.0
household_size,77,0.0
household_size,78,0.0
household_size,79,0.0
household_size,80,0.0
household_size,81,0.0
household_size,82,0.0
household_size,83,0.0
household_size,84,0.0
household_size,85,0.0
household_size,86,0.0
household_size,87,0.0
household_size,88,0.0
household_size,89,0.0
household_size,90,0.0
household_size,91,0.0
household_size,92,0.0
household_size,93,0.0
household_size,94,0.0
household_size,95,0.0
household_size,96,0.0
household_size,97,0.0
household_size,98,0.0
household_size,99,0.0
household_size,100,0.0
household_size,101,0.0
household_size,102,0.0
household_size,103,0.0
household_size,104,0.0
household_size,105,0.0
household_size,106,0.0
household_size,107,0.0
household_size,108,0.0
household_size,109,0.0
household_size,110,0.0
household_size,111,0.0
household_size,112,0.0
household_size,113,0.0
household_size,114,0.0
household_size,115,0.0
household_size,116,0.0
household_size,117,0.0
household_size,118,0.0
household_size,119,0.0
household_size,120,0.0
household_size,121,0.0
household_size,122,0.0
household_size,123,0.0
household_size,124,0.0
household_size,125,0.0
household_size,126,0.0
household_size,127,0.0
household_size,128,0.0
household_size,129,0.0
household_size,130,0.0
household_size,131,0.0
household_size,132,0.0
household_size,133,0.0
household_size,134,0.0
household_size,135,0.0
household_size,136,0.0
household_size,137,0.0
household_size,138,0.0
household_size,139,0.0
