SuperWEB2(tm)

"Parental Survival"
"Age in completed years by Geography 2016 by Father alive then Mother Alive"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

" 0"
"Father alive then Mother Alive","No","No",
"52502033 : Ward 33",40.74565,13.39673,
"52502034 : Ward 34",24.05044,2.42846,
"Total",949.60345,436.36667,


" 5"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",35.21744,18.85334,
"52502002 : Ward 2",2.37412,2.37412,
"52502003 : Ward 3",4.6163,0,
"52502004 : Ward 4",4.5997,1.18706,
"52502005 : Ward 5",7.12236,0,
"52502006 : Ward 6",48.55084,19.25106,
"52502007 : Ward 7",43.6899,30.19192,
"52502008 : Ward 8",30.86356,15.43178,
"52502009 : Ward 9",35.10056,19.85922,
"52502010 : Ward 10",27.30238,8.30942,
"52502011 : Ward 11",21.36708,14.24472,
"52502012 : Ward 12",27.46696,17.2462,
"52502013 : Ward 13",27.24398,10.5716,
"52502014 : Ward 14",40.36004,16.65736,
"52502015 : Ward 15",45.22858,19.23604,
"52502016 : Ward 16",67.3616,26.26148,
"52502017 : Ward 17",30.59122,26.9181,
"52502018 : Ward 18",36.51228,19.39304,
"52502019 : Ward 19",25.18002,11.8706,
"52502020 : Ward 20",30.90208,15.43178,
"52502021 : Ward 21",25.12126,8.8291,
"52502022 : Ward 22",23.7412,10.68354,
"52502023 : Ward 23",29.6765,17.8059,
"52502024 : Ward 24",28.48944,17.8059,
"52502025 : Ward 25",12.92572,8.17748,
"52502026 : Ward 26",42.5471,24.7412,
"52502027 : Ward 27",29.6765,17.8059,
"52502028 : Ward 28",29.6765,24.92826,
"52502029 : Ward 29",37.98592,14.24472,
"52502030 : Ward 30",54.67582,27.96318,
"52502031 : Ward 31",40.5028,13.97238,
"52502032 : Ward 32",45.10828,17.8059,
"52502033 : Ward 33",40.54234,15.74512,
"52502034 : Ward 34",12.8706,6.9353,
"Total",1045.19098,520.73272,


" 6"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",38.51665,16.99593,
"52502002 : Ward 2",3.56118,3.56118,
"52502003 : Ward 3",6.85848,2.30815,
"52502004 : Ward 4",3.37412,4.78676,
"52502005 : Ward 5",17.8059,8.30942,
"52502006 : Ward 6",53.19878,30.54694,
"52502007 : Ward 7",34.44394,20.71046,
"52502008 : Ward 8",53.41262,8.30942,
"52502009 : Ward 9",58.68136,20.93774,
"52502010 : Ward 10",35.6118,14.24472,
"52502011 : Ward 11",36.79886,16.61884,
"52502012 : Ward 12",36.73616,24.01432,
"52502013 : Ward 13",41.42014,21.24012,
"52502014 : Ward 14",60.54006,22.55414,
"52502015 : Ward 15",53.16874,29.34826,
"52502016 : Ward 16",71.56856,30.56536,
"52502017 : Ward 17",62.4514,34.16742,
"52502018 : Ward 18",31.87598,17.13426,
"52502019 : Ward 19",24.18002,14.05766,
"52502020 : Ward 20",42.73416,15.43178,
"52502021 : Ward 21",31.12934,19.70267,
"52502022 : Ward 22",32.05062,18.99296,
"52502023 : Ward 23",30.86356,29.71502,
"52502024 : Ward 24",29.6765,32.05062,
"52502025 : Ward 25",14.0475,5.93022,
"52502026 : Ward 26",41.5471,23.55414,
"52502027 : Ward 27",37.98592,18.99296,
"52502028 : Ward 28",33.23768,11.8706,
"52502029 : Ward 29",56.97888,23.7412,
"52502030 : Ward 30",53.69082,29.40416,
"52502031 : Ward 31",44.69134,28.60556,
"52502032 : Ward 32",49.85652,22.55414,
"52502033 : Ward 33",55.1038,28.2581,
"52502034 : Ward 34",25.86229,15.24472,
"Total",1303.66078,664.45995,


" 7"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",37.55304,37.32959,
"52502002 : Ward 2",12.98616,4.74824,
"52502003 : Ward 3",5.67142,3.49521,
"52502004 : Ward 4",4.82528,1.18706,
"52502005 : Ward 5",20.18002,10.72206,
"52502006 : Ward 6",57.67808,31.70056,
"52502007 : Ward 7",58.51103,27.59392,
"52502008 : Ward 8",46.33386,27.30238,
"52502009 : Ward 9",52.99998,21.03126,
"52502010 : Ward 10",30.86356,18.99296,
"52502011 : Ward 11",34.42474,15.43178,
"52502012 : Ward 12",34.1716,15.91376,
"52502013 : Ward 13",46.24688,26.11532,
"52502014 : Ward 14",73.59772,36.79886,
"52502015 : Ward 15",63.40112,33.96274,
"52502016 : Ward 16",64.64344,27.1762,
"52502017 : Ward 17",62.64184,34.27936,
"52502018 : Ward 18",47.87164,20.37804,
"52502019 : Ward 19",45.98592,22.36708,
"52502020 : Ward 20",46.29534,20.18002,
"52502021 : Ward 21",33.7633,26.94228,
"52502022 : Ward 22",35.6118,18.99296,
"52502023 : Ward 23",52.23064,30.86356,
"52502024 : Ward 24",34.42474,18.99296,
"52502025 : Ward 25",5.86933,3.56118,
"52502026 : Ward 26",51.85652,36.79886,
"52502027 : Ward 27",23.7412,20.18002,
"52502028 : Ward 28",28.48944,11.8706,
"52502029 : Ward 29",59.353,23.7412,
"52502030 : Ward 30",68.86044,25.6191,
"52502031 : Ward 31",63.2884,22.84568,
"52502032 : Ward 32",43.91614,24.92826,
"52502033 : Ward 33",55.1823,16.85028,
"52502034 : Ward 34",15.17875,13.05766,
"Total",1418.64867,731.951,


" 8"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",42.97163,26.4226,
"52502002 : Ward 2",9.49648,2.37412,
"52502003 : Ward 3",4.6163,1.12109,
"52502004 : Ward 4",3.5997,4.78676,
"52502005 : Ward 5",16.65228,11.94764,
"52502006 : Ward 6",38.45364,32.85418,
"52502007 : Ward 7",66.84958,20.63196,
"52502008 : Ward 8",52.23064,23.7412,
"52502009 : Ward 9",45.81414,30.31888,
"52502010 : Ward 10",41.5471,22.55414,
"52502011 : Ward 11",43.92122,22.55414,
